date,machine,shift,planned_time,run_time,downtime,actual_output,ideal_output,good_units,defects,availability,performance,quality,oee
2024-01-05,Press-01,Morning,480,463,17,492,625,465,27,0.965,0.787,0.945,0.718
2024-01-05,Press-01,Afternoon,480,407,73,406,542,382,24,0.848,0.749,0.941,0.598
2024-01-05,Press-01,Night,480,452,28,441,625,417,24,0.942,0.706,0.946,0.629
2024-01-05,Assembly-01,Morning,480,454,26,643,688,594,49,0.946,0.935,0.924,0.817
2024-01-05,Assembly-01,Afternoon,480,465,15,563,635,520,43,0.969,0.887,0.924,0.794
2024-01-05,Assembly-01,Night,480,378,102,506,604,481,25,0.787,0.838,0.951,0.627
2024-01-05,Welding-01,Morning,480,411,69,393,548,381,12,0.856,0.717,0.969,0.595
2024-01-05,Welding-01,Afternoon,480,439,41,456,585,447,9,0.915,0.779,0.98,0.699
2024-01-05,Welding-01,Night,480,446,34,617,661,581,36,0.929,0.933,0.942,0.816
2024-01-06,CNC-01,Morning,480,367,113,412,568,391,21,0.765,0.725,0.949,0.526
2024-01-06,CNC-01,Afternoon,480,385,95,396,519,384,12,0.802,0.763,0.97,0.594
2024-01-06,CNC-01,Night,480,381,99,556,609,546,10,0.794,0.913,0.982,0.712
2024-01-06,CNC-02,Morning,480,423,57,468,606,437,31,0.881,0.772,0.934,0.635
2024-01-06,CNC-02,Afternoon,480,372,108,551,601,511,40,0.775,0.917,0.927,0.659
2024-01-06,CNC-02,Night,480,464,16,577,641,545,32,0.967,0.9,0.945,0.822
2024-01-06,Press-01,Morning,480,361,119,407,571,378,29,0.752,0.713,0.929,0.498
2024-01-06,Press-01,Afternoon,480,456,24,445,615,423,22,0.95,0.724,0.951,0.654
2024-01-06,Press-01,Night,480,385,95,513,628,489,24,0.802,0.817,0.953,0.624
2024-01-06,Assembly-01,Morning,480,449,31,509,718,475,34,0.935,0.709,0.933,0.618
2024-01-06,Assembly-01,Afternoon,480,417,63,457,625,436,21,0.869,0.731,0.954,0.606
2024-01-06,Assembly-01,Night,480,418,62,596,633,571,25,0.871,0.942,0.958,0.786
2024-01-06,Welding-01,Morning,480,465,15,533,713,513,20,0.969,0.748,0.962,0.697
2024-01-06,Welding-01,Afternoon,480,372,108,475,539,438,37,0.775,0.881,0.922,0.63
2024-01-06,Welding-01,Night,480,365,115,535,596,520,15,0.76,0.898,0.972,0.663
2024-01-07,CNC-01,Morning,480,379,101,395,530,389,6,0.79,0.745,0.985,0.58
2024-01-07,CNC-01,Afternoon,480,462,18,562,700,550,12,0.963,0.803,0.979,0.757
2024-01-07,CNC-01,Night,480,470,10,561,736,534,27,0.979,0.762,0.952,0.71
2024-01-07,CNC-02,Morning,480,423,57,572,613,541,31,0.881,0.933,0.946,0.778
2024-01-07,CNC-02,Afternoon,480,410,70,507,587,487,20,0.854,0.864,0.961,0.709
2024-01-07,CNC-02,Night,480,378,102,393,516,380,13,0.787,0.762,0.967,0.58
2024-01-07,Press-01,Morning,480,370,110,414,573,408,6,0.771,0.723,0.986,0.55
2024-01-07,Press-01,Afternoon,480,377,103,552,584,540,12,0.785,0.945,0.978,0.726
2024-01-07,Press-01,Night,480,455,25,649,720,627,22,0.948,0.901,0.966,0.825
2024-01-07,Assembly-01,Morning,480,377,103,422,527,400,22,0.785,0.801,0.948,0.596
2024-01-07,Assembly-01,Afternoon,480,402,78,395,556,381,14,0.838,0.71,0.965,0.574
2024-01-07,Assembly-01,Night,480,452,28,503,602,474,29,0.942,0.836,0.942,0.742
2024-01-07,Welding-01,Morning,480,455,25,619,720,612,7,0.948,0.86,0.989,0.806
2024-01-07,Welding-01,Afternoon,480,439,41,611,724,589,22,0.915,0.844,0.964,0.744
2024-01-07,Welding-01,Night,480,438,42,527,584,492,35,0.912,0.902,0.934,0.768
2024-01-08,CNC-01,Morning,480,459,21,567,627,536,31,0.956,0.904,0.945,0.817
2024-01-08,CNC-01,Afternoon,480,428,52,498,649,486,12,0.892,0.767,0.976,0.668
2024-01-08,CNC-01,Night,480,425,55,407,573,386,21,0.885,0.71,0.948,0.596
2024-01-08,CNC-02,Morning,480,384,96,530,614,511,19,0.8,0.863,0.964,0.666
2024-01-08,CNC-02,Afternoon,480,397,83,410,535,392,18,0.827,0.766,0.956,0.606
2024-01-08,CNC-02,Night,480,413,67,572,667,532,40,0.86,0.858,0.93,0.686
2024-01-08,Press-01,Morning,480,435,45,447,601,420,27,0.906,0.744,0.94,0.634
2024-01-08,Press-01,Afternoon,480,407,73,527,556,507,20,0.848,0.948,0.962,0.773
2024-01-08,Press-01,Night,480,389,91,556,622,538,18,0.81,0.894,0.968,0.701
2024-01-08,Assembly-01,Morning,480,409,71,434,572,410,24,0.852,0.759,0.945,0.611
2024-01-08,Assembly-01,Afternoon,480,448,32,444,612,412,32,0.933,0.725,0.928,0.628
2024-01-08,Assembly-01,Night,480,409,71,611,674,592,19,0.852,0.907,0.969,0.749
2024-01-08,Welding-01,Morning,480,412,68,536,672,531,5,0.858,0.798,0.991,0.679
2024-01-08,Welding-01,Afternoon,480,366,114,432,597,419,13,0.762,0.724,0.97,0.535
2024-01-08,Welding-01,Night,480,393,87,546,648,517,29,0.819,0.843,0.947,0.654
2024-01-09,CNC-01,Morning,480,402,78,467,549,445,22,0.838,0.851,0.953,0.68
2024-01-09,CNC-01,Afternoon,480,386,94,500,533,468,32,0.804,0.938,0.936,0.706
2024-01-09,CNC-01,Night,480,432,48,617,662,569,48,0.9,0.932,0.922,0.773
2024-01-09,CNC-02,Morning,480,457,23,565,639,538,27,0.952,0.884,0.952,0.801
2024-01-09,CNC-02,Afternoon,480,396,84,603,640,568,35,0.825,0.942,0.942,0.732
2024-01-09,CNC-02,Night,480,413,67,574,626,535,39,0.86,0.917,0.932,0.735
2024-01-09,Press-01,Morning,480,425,55,492,651,474,18,0.885,0.756,0.963,0.644
2024-01-09,Press-01,Afternoon,480,444,36,431,599,425,6,0.925,0.72,0.986,0.657
2024-01-09,Press-01,Night,480,388,92,446,562,430,16,0.808,0.794,0.964,0.618
2024-01-09,Assembly-01,Morning,480,454,26,615,650,577,38,0.946,0.946,0.938,0.839
2024-01-09,Assembly-01,Afternoon,480,401,79,585,654,557,28,0.835,0.894,0.952,0.711
2024-01-09,Assembly-01,Night,480,380,100,522,563,513,9,0.792,0.927,0.983,0.722
2024-01-09,Welding-01,Morning,480,404,76,435,619,417,18,0.842,0.703,0.959,0.568
2024-01-09,Welding-01,Afternoon,480,413,67,497,681,488,9,0.86,0.73,0.982,0.616
2024-01-09,Welding-01,Night,480,366,114,465,524,442,23,0.762,0.887,0.951,0.643
2024-01-10,CNC-01,Morning,480,409,71,471,654,449,22,0.852,0.72,0.953,0.585
2024-01-10,CNC-01,Afternoon,480,465,15,666,705,634,32,0.969,0.945,0.952,0.872
2024-01-10,CNC-01,Night,480,424,56,558,671,514,44,0.883,0.832,0.921,0.677
2024-01-10,CNC-02,Morning,480,370,110,429,511,396,33,0.771,0.84,0.923,0.598
2024-01-10,CNC-02,Afternoon,480,453,27,608,709,573,35,0.944,0.858,0.942,0.763
2024-01-10,CNC-02,Night,480,440,40,502,586,477,25,0.917,0.857,0.95,0.747
2024-01-10,Press-01,Morning,480,455,25,525,682,485,40,0.948,0.77,0.924,0.674
2024-01-10,Press-01,Afternoon,480,399,81,460,565,436,24,0.831,0.814,0.948,0.641
2024-01-10,Press-01,Night,480,463,17,522,640,504,18,0.965,0.816,0.966,0.761
2024-01-10,Assembly-01,Morning,480,421,59,556,589,513,43,0.877,0.944,0.923,0.764
2024-01-10,Assembly-01,Afternoon,480,408,72,502,652,483,19,0.85,0.77,0.962,0.63
2024-01-10,Assembly-01,Night,480,394,86,462,623,428,34,0.821,0.742,0.926,0.564
2024-01-10,Welding-01,Morning,480,465,15,604,751,574,30,0.969,0.804,0.95,0.74
2024-01-10,Welding-01,Afternoon,480,446,34,433,602,403,30,0.929,0.719,0.931,0.622
2024-01-10,Welding-01,Night,480,362,118,358,506,345,13,0.754,0.708,0.964,0.515
2024-01-11,CNC-01,Morning,480,406,74,621,656,609,12,0.846,0.947,0.981,0.786
2024-01-11,CNC-01,Afternoon,480,386,94,561,617,537,24,0.804,0.909,0.957,0.699
2024-01-11,CNC-01,Night,480,372,108,348,496,343,5,0.775,0.702,0.986,0.536
2024-01-11,CNC-02,Morning,480,379,101,505,606,474,31,0.79,0.833,0.939,0.618
2024-01-11,CNC-02,Afternoon,480,468,12,577,655,541,36,0.975,0.881,0.938,0.806
2024-01-11,CNC-02,Night,480,388,92,471,620,460,11,0.808,0.76,0.977,0.6
2024-01-11,Press-01,Morning,480,470,10,590,767,576,14,0.979,0.769,0.976,0.735
2024-01-11,Press-01,Afternoon,480,406,74,577,649,570,7,0.846,0.889,0.988,0.743
2024-01-11,Press-01,Night,480,376,104,384,545,367,17,0.783,0.705,0.956,0.528
2024-01-11,Assembly-01,Morning,480,417,63,473,569,441,32,0.869,0.831,0.932,0.673
2024-01-11,Assembly-01,Afternoon,480,417,63,531,632,494,37,0.869,0.84,0.93,0.679
2024-01-11,Assembly-01,Night,480,414,66,485,662,480,5,0.863,0.733,0.99,0.626
2024-01-11,Welding-01,Morning,480,392,88,469,548,442,27,0.817,0.856,0.942,0.659
2024-01-11,Welding-01,Afternoon,480,420,60,441,602,437,4,0.875,0.733,0.991,0.636
2024-01-11,Welding-01,Night,480,433,47,593,700,571,22,0.902,0.847,0.963,0.736
2024-01-12,CNC-01,Morning,480,380,100,574,620,555,19,0.792,0.926,0.967,0.709
2024-01-12,CNC-01,Afternoon,480,433,47,517,577,498,19,0.902,0.896,0.963,0.778
2024-01-12,CNC-01,Night,480,365,115,521,596,487,34,0.76,0.874,0.935,0.621
2024-01-12,CNC-02,Morning,480,461,19,607,737,590,17,0.96,0.824,0.972,0.769
2024-01-12,CNC-02,Afternoon,480,383,97,506,536,484,22,0.798,0.944,0.957,0.721
2024-01-12,CNC-02,Night,480,394,86,499,591,483,16,0.821,0.844,0.968,0.671
2024-01-12,Press-01,Morning,480,448,32,523,709,513,10,0.933,0.738,0.981,0.675
2024-01-12,Press-01,Afternoon,480,463,17,477,640,461,16,0.965,0.745,0.966,0.694
2024-01-12,Press-01,Night,480,404,76,457,552,422,35,0.842,0.828,0.923,0.643
2024-01-12,Assembly-01,Morning,480,410,70,475,669,465,10,0.854,0.71,0.979,0.594
2024-01-12,Assembly-01,Afternoon,480,379,101,418,562,412,6,0.79,0.744,0.986,0.58
2024-01-12,Assembly-01,Night,480,470,10,536,658,523,13,0.979,0.815,0.976,0.779
2024-01-12,Welding-01,Morning,480,437,43,577,699,544,33,0.91,0.825,0.943,0.708
2024-01-12,Welding-01,Afternoon,480,398,82,534,623,526,8,0.829,0.857,0.985,0.7
2024-01-12,Welding-01,Night,480,377,103,526,565,519,7,0.785,0.931,0.987,0.721
2024-01-13,CNC-01,Morning,480,445,35,554,615,520,34,0.927,0.901,0.939,0.784
2024-01-13,CNC-01,Afternoon,480,419,61,547,656,507,40,0.873,0.834,0.927,0.675
2024-01-13,CNC-01,Night,480,457,23,577,708,542,35,0.952,0.815,0.939,0.729
2024-01-13,CNC-02,Morning,480,457,23,655,746,608,47,0.952,0.878,0.928,0.776
2024-01-13,CNC-02,Afternoon,480,361,119,451,541,444,7,0.752,0.834,0.984,0.617
2024-01-13,CNC-02,Night,480,433,47,472,591,464,8,0.902,0.799,0.983,0.708
2024-01-13,Press-01,Morning,480,370,110,461,548,430,31,0.771,0.841,0.933,0.605
2024-01-13,Press-01,Afternoon,480,385,95,442,583,427,15,0.802,0.758,0.966,0.587
2024-01-13,Press-01,Night,480,446,34,486,616,460,26,0.929,0.789,0.947,0.694
2024-01-13,Assembly-01,Morning,480,453,27,600,709,564,36,0.944,0.846,0.94,0.751
2024-01-13,Assembly-01,Afternoon,480,463,17,542,671,532,10,0.965,0.808,0.982,0.766
2024-01-13,Assembly-01,Night,480,430,50,476,602,450,26,0.896,0.791,0.945,0.67
2024-01-13,Welding-01,Morning,480,373,107,447,571,414,33,0.777,0.783,0.926,0.563
2024-01-13,Welding-01,Afternoon,480,418,62,468,592,448,20,0.871,0.791,0.957,0.659
2024-01-13,Welding-01,Night,480,377,103,408,565,381,27,0.785,0.722,0.934,0.529
2024-01-14,CNC-01,Morning,480,447,33,472,655,450,22,0.931,0.721,0.953,0.64
2024-01-14,CNC-01,Afternoon,480,431,49,570,603,560,10,0.898,0.945,0.982,0.833
2024-01-14,CNC-01,Night,480,405,75,629,668,585,44,0.844,0.942,0.93,0.739
2024-01-14,CNC-02,Morning,480,465,15,612,744,575,37,0.969,0.823,0.94,0.75
2024-01-14,CNC-02,Afternoon,480,409,71,463,552,440,23,0.852,0.839,0.95,0.679
2024-01-14,CNC-02,Night,480,420,60,574,644,561,13,0.875,0.891,0.977,0.762
2024-01-14,Press-01,Morning,480,403,77,493,658,463,30,0.84,0.749,0.939,0.591
2024-01-14,Press-01,Afternoon,480,459,21,630,719,590,40,0.956,0.876,0.937,0.785
2024-01-14,Press-01,Night,480,433,47,501,606,464,37,0.902,0.827,0.926,0.691
2024-01-14,Assembly-01,Morning,480,394,86,501,591,484,17,0.821,0.848,0.966,0.673
2024-01-14,Assembly-01,Afternoon,480,461,19,462,645,426,36,0.96,0.716,0.922,0.634
2024-01-14,Assembly-01,Night,480,458,22,599,664,583,16,0.954,0.902,0.973,0.837
2024-01-14,Welding-01,Morning,480,370,110,483,542,459,24,0.771,0.891,0.95,0.653
2024-01-14,Welding-01,Afternoon,480,447,33,508,633,491,17,0.931,0.803,0.967,0.723
2024-01-14,Welding-01,Night,480,422,58,536,590,495,41,0.879,0.908,0.924,0.737
2024-01-15,CNC-01,Morning,480,393,87,550,589,538,12,0.819,0.934,0.978,0.748
2024-01-15,CNC-01,Afternoon,480,436,44,514,581,489,25,0.908,0.885,0.951,0.764
2024-01-15,CNC-01,Night,480,407,73,535,590,502,33,0.848,0.907,0.938,0.721
2024-01-15,CNC-02,Morning,480,411,69,416,561,389,27,0.856,0.742,0.935,0.594
2024-01-15,CNC-02,Afternoon,480,393,87,423,543,402,21,0.819,0.779,0.95,0.606
2024-01-15,CNC-02,Night,480,453,27,534,656,502,32,0.944,0.814,0.94,0.722
2024-01-15,Press-01,Morning,480,439,41,613,717,584,29,0.915,0.855,0.953,0.746
2024-01-15,Press-01,Afternoon,480,408,72,539,639,521,18,0.85,0.844,0.967,0.694
2024-01-15,Press-01,Night,480,405,75,449,627,438,11,0.844,0.716,0.976,0.59
2024-01-15,Assembly-01,Morning,480,432,48,570,705,552,18,0.9,0.809,0.968,0.705
2024-01-15,Assembly-01,Afternoon,480,420,60,531,609,520,11,0.875,0.872,0.979,0.747
2024-01-15,Assembly-01,Night,480,442,38,491,589,456,35,0.921,0.834,0.929,0.714
2024-01-15,Welding-01,Morning,480,435,45,547,616,515,32,0.906,0.888,0.941,0.757
2024-01-15,Welding-01,Afternoon,480,444,36,419,592,399,20,0.925,0.708,0.952,0.623
2024-01-15,Welding-01,Night,480,461,19,593,645,573,20,0.96,0.919,0.966,0.852
2024-01-16,CNC-01,Morning,480,433,47,483,663,450,33,0.902,0.729,0.932,0.613
2024-01-16,CNC-01,Afternoon,480,383,97,505,631,472,33,0.798,0.8,0.935,0.597
2024-01-16,CNC-01,Night,480,466,14,585,730,548,37,0.971,0.801,0.937,0.729
2024-01-16,CNC-02,Morning,480,444,36,633,725,603,30,0.925,0.873,0.953,0.77
2024-01-16,CNC-02,Afternoon,480,428,52,543,599,502,41,0.892,0.907,0.924,0.748
2024-01-16,CNC-02,Night,480,367,113,393,519,378,15,0.765,0.757,0.962,0.557
2024-01-16,Press-01,Morning,480,381,99,504,590,467,37,0.794,0.854,0.927,0.629
2024-01-16,Press-01,Afternoon,480,367,113,506,593,501,5,0.765,0.853,0.99,0.646
2024-01-16,Press-01,Night,480,411,69,575,616,547,28,0.856,0.933,0.951,0.76
2024-01-16,Assembly-01,Morning,480,403,77,525,564,494,31,0.84,0.931,0.941,0.736
2024-01-16,Assembly-01,Afternoon,480,365,115,492,584,467,25,0.76,0.842,0.949,0.607
2024-01-16,Assembly-01,Night,480,420,60,607,651,562,45,0.875,0.932,0.926,0.755
2024-01-16,Welding-01,Morning,480,448,32,435,597,401,34,0.933,0.729,0.922,0.627
2024-01-16,Welding-01,Afternoon,480,361,119,365,499,338,27,0.752,0.731,0.926,0.509
2024-01-16,Welding-01,Night,480,408,72,564,666,543,21,0.85,0.847,0.963,0.693
2024-01-17,CNC-01,Morning,480,398,82,438,583,410,28,0.829,0.751,0.936,0.583
2024-01-17,CNC-01,Afternoon,480,445,35,475,652,457,18,0.927,0.729,0.962,0.65
2024-01-17,CNC-01,Night,480,381,99,531,571,509,22,0.794,0.93,0.959,0.708
2024-01-17,CNC-02,Morning,480,380,100,476,513,452,24,0.792,0.928,0.95,0.698
2024-01-17,CNC-02,Afternoon,480,412,68,579,624,564,15,0.858,0.928,0.974,0.776
2024-01-17,CNC-02,Night,480,446,34,473,639,468,5,0.929,0.74,0.989,0.68
2024-01-17,Press-01,Morning,480,438,42,627,700,609,18,0.912,0.896,0.971,0.793
2024-01-17,Press-01,Afternoon,480,445,35,622,719,609,13,0.927,0.865,0.979,0.785
2024-01-17,Press-01,Night,480,387,93,418,567,402,16,0.806,0.737,0.962,0.571
2024-01-17,Assembly-01,Morning,480,379,101,453,549,430,23,0.79,0.825,0.949,0.619
2024-01-17,Assembly-01,Afternoon,480,458,22,562,748,522,40,0.954,0.751,0.929,0.666
2024-01-17,Assembly-01,Night,480,439,41,498,702,477,21,0.915,0.709,0.958,0.621
2024-01-17,Welding-01,Morning,480,431,49,504,703,472,32,0.898,0.717,0.937,0.603
2024-01-17,Welding-01,Afternoon,480,424,56,569,685,546,23,0.883,0.831,0.96,0.704
2024-01-17,Welding-01,Night,480,377,103,476,534,468,8,0.785,0.891,0.983,0.688
2024-01-18,CNC-01,Morning,480,463,17,589,663,572,17,0.965,0.888,0.971,0.832
2024-01-18,CNC-01,Afternoon,480,388,92,500,601,467,33,0.808,0.832,0.934,0.628
2024-01-18,CNC-01,Night,480,416,64,616,672,593,23,0.867,0.917,0.963,0.766
2024-01-18,CNC-02,Morning,480,414,66,428,565,404,24,0.863,0.758,0.944,0.618
2024-01-18,CNC-02,Afternoon,480,399,81,526,625,489,37,0.831,0.842,0.93,0.651
2024-01-18,CNC-02,Night,480,379,101,522,593,488,34,0.79,0.88,0.935,0.65
2024-01-18,Press-01,Morning,480,383,97,505,593,472,33,0.798,0.852,0.935,0.636
2024-01-18,Press-01,Afternoon,480,455,25,589,629,578,11,0.948,0.936,0.981,0.87
2024-01-18,Press-01,Night,480,457,23,522,723,494,28,0.952,0.722,0.946,0.65
2024-01-18,Assembly-01,Morning,480,438,42,522,715,485,37,0.912,0.73,0.929,0.618
2024-01-18,Assembly-01,Afternoon,480,442,38,659,714,615,44,0.921,0.923,0.933,0.793
2024-01-18,Assembly-01,Night,480,451,29,517,676,499,18,0.94,0.765,0.965,0.694
2024-01-18,Welding-01,Morning,480,384,96,528,582,510,18,0.8,0.907,0.966,0.701
2024-01-18,Welding-01,Afternoon,480,377,103,447,552,434,13,0.785,0.81,0.971,0.617
2024-01-18,Welding-01,Night,480,385,95,429,583,399,30,0.802,0.736,0.93,0.549
2024-01-19,CNC-01,Morning,480,412,68,522,638,511,11,0.858,0.818,0.979,0.687
2024-01-19,CNC-01,Afternoon,480,390,90,535,604,504,31,0.812,0.886,0.942,0.678
2024-01-19,CNC-01,Night,480,446,34,482,639,456,26,0.929,0.754,0.946,0.663
2024-01-19,CNC-02,Morning,480,361,119,366,499,340,26,0.752,0.733,0.929,0.512
2024-01-19,CNC-02,Afternoon,480,373,107,367,522,340,27,0.777,0.703,0.926,0.506
2024-01-19,CNC-02,Night,480,386,94,483,572,469,14,0.804,0.844,0.971,0.659
2024-01-19,Press-01,Morning,480,454,26,548,635,511,37,0.946,0.863,0.932,0.761
2024-01-19,Press-01,Afternoon,480,384,96,418,569,407,11,0.8,0.735,0.974,0.573
2024-01-19,Press-01,Night,480,440,40,550,623,535,15,0.917,0.883,0.973,0.788
2024-01-19,Assembly-01,Morning,480,362,118,437,518,407,30,0.754,0.844,0.931,0.592
2024-01-19,Assembly-01,Afternoon,480,386,94,425,598,416,9,0.804,0.711,0.979,0.56
2024-01-19,Assembly-01,Night,480,364,116,349,485,331,18,0.758,0.72,0.948,0.517
2024-01-19,Welding-01,Morning,480,445,35,515,667,498,17,0.927,0.772,0.967,0.692
2024-01-19,Welding-01,Afternoon,480,412,68,503,590,465,38,0.858,0.853,0.924,0.676
2024-01-19,Welding-01,Night,480,416,64,611,651,600,11,0.867,0.939,0.982,0.799
2024-01-20,CNC-01,Morning,480,415,65,424,553,404,20,0.865,0.767,0.953,0.632
2024-01-20,CNC-01,Afternoon,480,388,92,482,530,449,33,0.808,0.909,0.932,0.685
2024-01-20,CNC-01,Night,480,362,118,425,543,398,27,0.754,0.783,0.936,0.553
2024-01-20,CNC-02,Morning,480,398,82,459,583,442,17,0.829,0.787,0.963,0.628
2024-01-20,CNC-02,Afternoon,480,410,70,522,615,500,22,0.854,0.849,0.958,0.695
2024-01-20,CNC-02,Night,480,436,44,428,595,424,4,0.908,0.719,0.991,0.647
2024-01-20,Press-01,Morning,480,420,60,504,595,487,17,0.875,0.847,0.966,0.716
2024-01-20,Press-01,Afternoon,480,427,53,501,683,463,38,0.89,0.734,0.924,0.604
